City,District,Quarter,Net m²,Number of Rooms,Building Age,Floor Location,Number of Floors,Heating,Number of Baths,Balcony,Furnished,Price
Aydın,Efeler,Güzelhisar,120,3+1,21-25 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,880000
Aydın,Efeler,Cuma,80,2+1,2,6,6,Yerden Isıtma,1,Var,Evet,1450000
Aydın,Efeler,Yedi Eylül,145,3+1,11-15 arası,3,8,Merkezi (Pay Ölçer),1,Var,Hayır,1790000
Aydın,Efeler,Ata,170,3+1,4,3,3,Doğalgaz (Kombi),2,Var,Hayır,1620000
Aydın,Efeler,Köprülü - Veysipaşa,95,3+1,21-25 arası,Bodrum Kat,4,Doğalgaz (Kombi),1,Var,Hayır,650000
Aydın,Efeler,Cuma,55,2+0,4,1,4,Merkezi,1,Yok,Evet,1050000
Aydın,Efeler,Mimar Sinan,160,4+1,11-15 arası,8,9,Merkezi,2,Var,Hayır,1780000
Aydın,Efeler,Köprülü - Veysipaşa,95,2+1,26-30 arası,5,5,Doğalgaz (Kombi),1,Var,Hayır,1000000
Aydın,Efeler,Mimar Sinan,110,3+1,26-30 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,1400000
Aydın,Efeler,Mimar Sinan,130,3+1,16-20 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,1350000
Aydın,Efeler,Girne,90,2+1,0,1,4,Doğalgaz (Kombi),2,Var,Hayır,1530000
Aydın,Efeler,Adnan Menderes,300,5+2,5-10 arası,4,4,Doğalgaz (Kombi),3,Var,Hayır,2800000
Aydın,Efeler,Orta,85,2+1,3,3,3,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Kurtuluş,92,3+1,26-30 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,1200000
Aydın,Efeler,Adnan Menderes,160,4+1,0,3,8,Doğalgaz (Kombi),2,Var,Hayır,4000000
Aydın,Efeler,Girne,45,1+1,3,1,3,Doğalgaz (Kombi),1,Var,Evet,950000
Aydın,Efeler,Ata,165,3+1,4,2,3,Doğalgaz (Kombi),2,Var,Hayır,2150000
Aydın,Efeler,Orta,45,1+1,4,3,4,Doğalgaz (Kombi),1,Var,Evet,675000
Aydın,Efeler,Köprülü - Veysipaşa,135,3+1,21-25 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,850000
Aydın,Efeler,Zeybek,150,3+1,0,2,5,Doğalgaz (Kombi),2,Var,Hayır,2500000
Aydın,Efeler,Meşrutiyet,58,1+1,5-10 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,825000
Aydın,Efeler,Ata,175,3+1,4,3,3,Doğalgaz (Kombi),1,Var,Hayır,2150000
Aydın,Efeler,Yedi Eylül,140,3+1,5-10 arası,3,6,Doğalgaz (Kombi),1,Var,Hayır,2500000
Aydın,Efeler,Zeybek,127,3+1,0,1,6,Yerden Isıtma,2,Var,Hayır,3200000
Aydın,Efeler,Tepecik,220,5+2,2,7,7,Yerden Isıtma,5,Var,Hayır,4100000
Aydın,Efeler,Tepecik,120,3+1,5-10 arası,Yüksek Giriş,3,Kat Kaloriferi,1,Var,Hayır,1200000
Aydın,Efeler,Girne,60,1+1,4,1,4,Doğalgaz (Kombi),1,Var,Evet,860000
Aydın,Efeler,Mimar Sinan,180,4+1,5-10 arası,1,14,Yerden Isıtma,2,Var,Belirtilmemiş,3650000
Aydın,Efeler,Fatih,134,3+1,3,1,3,Doğalgaz (Kombi),2,Var,Hayır,1650000
Aydın,Efeler,Efeler,50,2+0,0,1,5,Doğalgaz (Kombi),1,Var,Hayır,995000
Aydın,Efeler,Orta,49,1+1,3,3,4,Doğalgaz (Kombi),1,Yok,Evet,700000
Aydın,Efeler,Cuma,75,2+1,4,1,5,Yerden Isıtma,1,Var,Evet,1170000
Aydın,Efeler,Fatih,120,3+1,0,2,3,Yerden Isıtma,1,Var,Hayır,1850000
Aydın,Efeler,Efeler,200,5+1,4,3,3,Doğalgaz (Kombi),3,Var,Hayır,2500000
Aydın,Efeler,Cumhuriyet,130,2+1,16-20 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,1370000
Aydın,Efeler,Orta,140,3+1,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Evet,1625000
Aydın,Efeler,Zeybek,120,3+1,21-25 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,1600000
Aydın,Efeler,Cumhuriyet,125,3+1,0,5,5,Doğalgaz (Kombi),2,Var,Hayır,2000000
Aydın,Efeler,Kurtuluş,75,2+1,5-10 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,1450000
Aydın,Efeler,Orta,40,1+1,0,2,5,Doğalgaz (Kombi),1,Yok,Hayır,1100000
Aydın,Efeler,Efeler,170,5+1,3,5,5,Doğalgaz (Kombi),3,Var,Hayır,3025000
Aydın,Efeler,Orta,75,2+0,1,4,4,Doğalgaz (Kombi),1,Var,Hayır,825000
Aydın,Efeler,Efeler,140,3+1,16-20 arası,5,5,Klima,1,Var,Hayır,1800000
Aydın,Efeler,Cumhuriyet,160,3+1,21-25 arası,12,12,Merkezi,2,Var,Hayır,2070000
Aydın,Efeler,Mimar Sinan,200,4+1,11-15 arası,3,5,Doğalgaz (Kombi),2,Var,Hayır,3500000
Aydın,Efeler,Mesudiye,160,3+1,11-15 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,1500000
Aydın,Efeler,Orta,49,2+1,2,3,7,Doğalgaz (Kombi),1,Yok,Evet,1250000
Aydın,Efeler,Orta,65,1+1,5-10 arası,Yüksek Giriş,5,Klima,1,Yok,Evet,750000
Aydın,Efeler,Yedi Eylül,120,3+1,11-15 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,1700000
Aydın,Efeler,Mesudiye,90,2+1,5-10 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,1300000
Aydın,Efeler,Efeler,50,1+1,0,1,5,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Kemer,80,2+1,3,1,3,Yerden Isıtma,1,Var,Hayır,1450000
Aydın,Efeler,Girne,45,1+1,4,1,3,Doğalgaz (Kombi),1,Var,Evet,775000
Aydın,Efeler,Girne,185,4+1,11-15 arası,2,5,Doğalgaz (Kombi),2,Var,Hayır,2250000
Aydın,Efeler,Mimar Sinan,130,3+1,21-25 arası,Yüksek Giriş,4,Doğalgaz (Kombi),1,Var,Hayır,1300000
Aydın,Efeler,Efeler,240,6+1,4,4,4,Merkezi,3,Var,Hayır,2750000
Aydın,Efeler,,145,3+1,4,7,8,Merkezi (Pay Ölçer),1,Var,Hayır,1045000
Aydın,Efeler,Fatih,240,5+1,0,3,3,Doğalgaz (Kombi),3,Var,Hayır,3500000
Aydın,Efeler,Fatih,240,5+1,0,3,3,Doğalgaz (Kombi),3,Var,Hayır,3500000
Aydın,Efeler,Ata,55,1+1,0,2,3,Doğalgaz (Kombi),1,Var,Hayır,1100000
Aydın,Efeler,Köprülü - Veysipaşa,85,2+1,31 ve üzeri,2,6,Yok,1,Var,Hayır,690000
Aydın,Efeler,Zafer,50,1+1,5-10 arası,4,4,Klima,1,Var,Evet,699000
Aydın,Efeler,Adnan Menderes,180,4+1,5-10 arası,8,8,Merkezi,2,Var,Hayır,2550000
Aydın,Efeler,Fatih,145,3+1,16-20 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,1150000
Aydın,Efeler,Güzelhisar,90,2+1,0,4,5,Doğalgaz (Kombi),1,Var,Hayır,1600000
Aydın,Efeler,Girne,155,3+1,11-15 arası,8,8,Doğalgaz (Kombi),1,Var,Hayır,2000000
Aydın,Efeler,Girne,80,2+1,5-10 arası,1,3,Doğalgaz (Kombi),1,Var,Evet,1350000
Aydın,Efeler,Zafer,60,1+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,900000
Aydın,Efeler,Güzelhisar,80,2+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,695000
Aydın,Efeler,Cuma,65,1+1,0,4,5,Doğalgaz (Kombi),1,Var,Hayır,425000
Aydın,Efeler,Orta,60,1+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,440000
Aydın,Efeler,Zafer,60,1+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,430000
Aydın,Efeler,Cumhuriyet,80,2+1,5-10 arası,5,5,Klima,1,Yok,Hayır,2000000
Aydın,Efeler,Zafer,40,1+1,2,Zemin Kat,3,Merkezi,1,Yok,Evet,760000
Aydın,Efeler,Güzelhisar,85,2+1,0,3,4,Yerden Isıtma,1,Var,Hayır,1295000
Aydın,Efeler,,180,3+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,1500000
Aydın,Efeler,Köprülü - Veysipaşa,140,3+1,16-20 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,800000
Aydın,Efeler,Güzelhisar,70,2+1,5-10 arası,5,5,Doğalgaz (Kombi),1,Var,Hayır,900000
Aydın,Efeler,Meşrutiyet,120,3+1,0,3,4,Yerden Isıtma,1,Var,Hayır,1900000
Aydın,Efeler,Zeybek,140,3+1,5-10 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,1610000
Aydın,Efeler,Kurtuluş,110,3+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,1650000
Aydın,Efeler,Mesudiye,135,3+1,31 ve üzeri,3,3,Yok,1,Var,Hayır,750000
Aydın,Efeler,Mimar Sinan,175,3+1,11-15 arası,7,8,Doğalgaz (Kombi),2,Var,Hayır,1950000
Aydın,Efeler,Yedi Eylül,140,3+1,31 ve üzeri,5,5,Yok,2,Var,Hayır,750000
Aydın,Efeler,Adnan Menderes,240,5+1,11-15 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,1750000
Aydın,Efeler,Adnan Menderes,220,3+1,3,5,5,Yerden Isıtma,2,Var,Hayır,2950000
Aydın,Efeler,Hasanefendi - Ramazan Paşa,120,3+1,21-25 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,1300000
Aydın,Efeler,Orta,72,2+1,4,3,6,Doğalgaz (Kombi),1,Var,Hayır,995000
Aydın,Efeler,Orta,150,3+1,2,5,5,Doğalgaz (Kombi),2,Var,Hayır,1500000
Aydın,Efeler,Güzelhisar,130,3+1,21-25 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,1500000
Aydın,Efeler,Zafer,50,2+0,0,1,6,Doğalgaz (Kombi),1,Var,Hayır,1100000
Aydın,Efeler,Mimar Sinan,100,2+1,0,2,3,Yerden Isıtma,1,Var,Hayır,1200000
Aydın,Efeler,Meşrutiyet,135,3+1,0,4,4,Yerden Isıtma,1,Var,Hayır,1750000
Aydın,Efeler,Efeler,130,3+1,5-10 arası,5,5,Doğalgaz (Kombi),1,Var,Hayır,2000000
Aydın,Efeler,Mimar Sinan,190,4+1,11-15 arası,9,9,Merkezi,2,Var,Hayır,3000000
Aydın,Efeler,Kurtuluş,105,2+1,16-20 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,765000
Aydın,Efeler,Adnan Menderes,155,3+1,0,4,4,Doğalgaz (Kombi),2,Var,Hayır,2750000
Aydın,Efeler,Girne,230,4+1,5-10 arası,4,4,Doğalgaz (Kombi),3,Var,Hayır,1750000
Aydın,Efeler,Mesudiye,75,2+1,0,3,3,Doğalgaz (Kombi),1,Var,Hayır,1435000
Aydın,Efeler,Mesudiye,95,2+1,21-25 arası,2,3,Doğalgaz (Kombi),1,Var,Hayır,950000
Aydın,Efeler,Osman Yozgatlı,175,3+1,0,3,6,Yerden Isıtma,2,Var,Hayır,2750000
Aydın,Efeler,Efeler,215,4.5+1,21-25 arası,8,11,Merkezi,2,Var,Hayır,2650000
Aydın,Efeler,Cuma,60,2+1,0,1,4,Doğalgaz (Kombi),1,Var,Hayır,950000
Aydın,Efeler,Efeler,220,5+1,2,7,7,Doğalgaz (Kombi),2,Var,Hayır,2520000
Aydın,Efeler,Efeler,150,3+1,3,2,7,Merkezi (Pay Ölçer),2,Var,Hayır,2750000
Aydın,Efeler,Girne,200,4+1,5-10 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,2200000
Aydın,Efeler,Köprülü - Veysipaşa,135,3+1,26-30 arası,3,3,Yok,1,Var,Hayır,680000
Aydın,Efeler,Girne,85,2+1,26-30 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,900000
Aydın,Efeler,Meşrutiyet,110,3+1,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,1500000
Aydın,Efeler,Adnan Menderes,75,2+1,3,2,4,Doğalgaz (Kombi),1,Var,Hayır,1150000
Aydın,Efeler,Adnan Menderes,180,3+1,11-15 arası,1,5,Doğalgaz (Kombi),2,Var,Hayır,1900000
Aydın,Efeler,Orta,280,5+1,11-15 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,3100000
Aydın,Efeler,Pınardere,140,3+1,3,2,2,Kat Kaloriferi,2,Var,Hayır,3650000
Aydın,Efeler,Hasanefendi - Ramazan Paşa,45,1+1,4,2,5,Doğalgaz (Kombi),1,Yok,Evet,800000
Aydın,Efeler,Zeybek,130,3+1,0,4,5,Doğalgaz (Kombi),2,Var,Hayır,899000
Aydın,Efeler,Girne,90,2+1,5-10 arası,1,3,Doğalgaz (Kombi),1,Var,Hayır,1275000
Aydın,Efeler,Zafer,50,1+1,5-10 arası,3,5,Klima,1,Var,Evet,790000
Aydın,Efeler,Kemer,147,3+1,5-10 arası,6,6,Merkezi,2,Var,Hayır,2575000
Aydın,Efeler,Girne,160,3+1,11-15 arası,6,12,Merkezi,2,Var,Hayır,2225000
Aydın,Efeler,Ata,110,2+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,1300000
Aydın,Efeler,Güzelhisar,85,2+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,1275000
Aydın,Efeler,Orta,45,1+1,5-10 arası,4,5,Klima,1,Yok,Hayır,695000
Aydın,Efeler,Orta,47,1+1,5-10 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,595000
Aydın,Efeler,Efeler,110,2+1,5-10 arası,2,5,Merkezi,1,Var,Belirtilmemiş,1500000
Aydın,Efeler,Ata,125,3+1,0,3,5,Yerden Isıtma,2,Var,Hayır,3225000
Aydın,Efeler,Efeler,130,3+1,21-25 arası,2,6,Doğalgaz (Kombi),1,Var,Hayır,990000
Aydın,Efeler,Kurtuluş,160,3+1,21-25 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,1250000
Aydın,Efeler,Cumhuriyet,150,3+1,11-15 arası,7,7,Merkezi (Pay Ölçer),2,Var,Hayır,2050000
Aydın,Efeler,Adnan Menderes,155,3+1,5-10 arası,6,8,Merkezi,2,Var,Hayır,2495000
Aydın,Efeler,Orta,62,2+1,4,6,7,Doğalgaz (Kombi),1,Yok,Evet,1320000
Aydın,Efeler,Orta,50,1+1,4,4,4,Doğalgaz (Kombi),1,Var,Evet,660000
Aydın,Efeler,Hasanefendi - Ramazan Paşa,90,2+1,16-20 arası,Giriş Altı Kot 1,5,Klima,1,Yok,Hayır,750000
Aydın,Efeler,Ata,130,3+1,0,2,3,Doğalgaz (Kombi),2,Var,Hayır,2750000
Aydın,Efeler,Güzelhisar,85,2+1,0,3,5,Doğalgaz (Kombi),1,Var,Hayır,1550000
Aydın,Efeler,Adnan Menderes,300,6+1,5-10 arası,5,5,Doğalgaz (Kombi),3,Var,Hayır,3200000
Aydın,Efeler,Zafer,55,2+1,5-10 arası,2,3,Doğalgaz (Kombi),1,Var,Evet,815000
Aydın,Efeler,Zeybek,150,3+1,1,4,4,Doğalgaz (Kombi),2,Var,Hayır,2250000
Aydın,Efeler,Zeybek,150,3+1,1,4,4,Doğalgaz (Kombi),2,Var,Hayır,2250000
Aydın,Efeler,Osman Yozgatlı,95,2+1,3,1,3,Doğalgaz (Kombi),1,Var,Hayır,1300000
Aydın,Efeler,Efeler,225,5+1,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,3500000
Aydın,Efeler,Köprülü - Veysipaşa,90,2+1,31 ve üzeri,Giriş Katı,4,Klima,1,Var,Hayır,530000
Aydın,Efeler,Hasanefendi - Ramazan Paşa,50,1+1,4,1,5,Merkezi,1,Yok,Evet,735000
Aydın,Efeler,Adnan Menderes,50,1+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,950000
Aydın,Efeler,Hasanefendi - Ramazan Paşa,88,2+1,31 ve üzeri,2,5,Doğalgaz (Kombi),1,Var,Hayır,865000
Aydın,Efeler,Orta,165,3+1,5-10 arası,6,6,Doğalgaz (Kombi),2,Var,Hayır,1800000
Aydın,Efeler,Zafer,42,1+1,4,4,4,Yerden Isıtma,1,Var,Evet,730000
Aydın,Efeler,Güzelhisar,90,2+1,4,1,5,Doğalgaz (Kombi),1,Var,Evet,1450000
Aydın,Efeler,Güzelhisar,90,2+1,4,1,5,Doğalgaz (Kombi),1,Var,Evet,1450000
Aydın,Efeler,Zafer,135,3+1,1,5,6,Doğalgaz (Kombi),1,Var,Hayır,2100000
Aydın,Efeler,Zafer,45,1+1,5-10 arası,1,4,Merkezi,1,Var,Evet,750000
Aydın,Efeler,Adnan Menderes,138,3+1,0,2,5,Doğalgaz (Kombi),2,Var,Hayır,2150000
Aydın,Efeler,Zeybek,135,3+1,0,2,3,Doğalgaz (Kombi),2,Var,Hayır,2500000
Aydın,Efeler,Zafer,77,2+1,5-10 arası,3,5,Kat Kaloriferi,1,Var,Evet,910000
Aydın,Efeler,Efeler,40,1+1,3,2,5,Yerden Isıtma,1,Var,Evet,825000
Aydın,Efeler,Cumhuriyet,125,3+1,21-25 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,1250000
Aydın,Efeler,Adnan Menderes,135,3+1,5-10 arası,Yüksek Giriş,3,Doğalgaz (Kombi),2,Var,Hayır,1600000
Aydın,Efeler,Cumhuriyet,40,1+1,0,2,4,Yerden Isıtma,1,Yok,Hayır,995000
Aydın,Efeler,Cumhuriyet,135,3+1,0,3,4,Doğalgaz (Kombi),2,Var,Hayır,3250000
Aydın,Efeler,Ata,220,5+1,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,2350000
Aydın,Efeler,Orta,50,1+1,5-10 arası,4,4,Doğalgaz (Kombi),1,Yok,Evet,750000
Aydın,Efeler,Kemer,180,4+1,2,2,12,Yerden Isıtma,3,Var,Hayır,5150000
Aydın,Efeler,Güzelhisar,100,2+1,0,1,5,Doğalgaz (Kombi),1,Var,Evet,1800000
Aydın,Efeler,Cumhuriyet,55,1+1,2,1,5,Doğalgaz (Kombi),1,Var,Evet,1035000
Aydın,Efeler,Efeler,180,5+1,5-10 arası,4,4,Merkezi,2,Var,Hayır,2100000
Aydın,Efeler,Meşrutiyet,90,2+1,5-10 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,1350000
Aydın,Efeler,Ata,110,2+1,0,1,3,Doğalgaz (Kombi),1,Var,Hayır,1200000
Aydın,Efeler,Orta,50,1+1,5-10 arası,4,4,Doğalgaz (Kombi),1,Var,Evet,790000
Aydın,Efeler,Mimar Sinan,60,1+1,4,2,3,Doğalgaz (Kombi),1,Var,Evet,975000
Aydın,Efeler,Orta,40,1+1,4,1,5,Klima,1,Var,Evet,715000
Aydın,Efeler,Adnan Menderes,130,3+1,11-15 arası,1,4,Merkezi,1,Var,Hayır,1800000
Aydın,Efeler,Orta,45,1+1,4,4,4,Klima,1,Var,Evet,630000
Aydın,Efeler,,165,4+1,3,8,8,Yerden Isıtma,2,Var,Evet,4200000
Aydın,Efeler,Orta,40,1+1,4,4,4,Yok,1,Yok,Evet,640000
Aydın,Efeler,Kurtuluş,125,3+1,21-25 arası,2,4,Klima,1,Var,Hayır,845000
Aydın,Efeler,Cumhuriyet,120,3+1,11-15 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,1349000
Aydın,Efeler,Meşrutiyet,120,3+1,26-30 arası,3,3,Yok,1,Var,Hayır,895000
Aydın,Efeler,Efeler,100,2+1,0,1,3,Yerden Isıtma,2,Var,Hayır,1825000
Aydın,Efeler,Zafer,160,3+1,5-10 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,2000000
Aydın,Efeler,Ata,128,3+1,3,2,3,Doğalgaz (Kombi),1,Var,Hayır,1630000
Aydın,Efeler,Ata,130,3+1,0,1,4,Doğalgaz (Kombi),2,Var,Hayır,1850000
Aydın,Efeler,Girne,40,1+1,0,3,3,Doğalgaz (Kombi),1,Var,Hayır,845000
Aydın,Efeler,Meşrutiyet,130,3+1,16-20 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,1520000
Aydın,Efeler,Ata,90,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,1250000
Aydın,Efeler,Fatih,180,5+1,0,3,3,Doğalgaz (Kombi),3,Var,Hayır,1450000
Aydın,Efeler,Ata,70,2+1,0,1,4,Doğalgaz (Kombi),1,Var,Hayır,980000
Aydın,Efeler,Orta,50,1+1,5-10 arası,1,4,Klima,1,Yok,Evet,585000
Aydın,Efeler,Kemer,216,4+1,11-15 arası,1,4,Doğalgaz (Kombi),2,Var,Hayır,3000000
Aydın,Efeler,Meşrutiyet,45,1+1,0,Çatı Katı,4,Doğalgaz (Kombi),1,Var,Hayır,849000
Aydın,Efeler,,105,2+1,2,Yüksek Giriş,4,Kat Kaloriferi,1,Yok,Hayır,750000
Aydın,Efeler,Ata,130,3+1,0,4,5,Doğalgaz (Kombi),2,Var,Hayır,1980000
Aydın,Efeler,Güzelhisar,50,1+1,5-10 arası,3,3,Doğalgaz (Kombi),1,Var,Evet,820000
Aydın,Efeler,Meşrutiyet,130,2+1,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,1680000
Aydın,Efeler,Meşrutiyet,125,3+1,21-25 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,1195000
Aydın,Efeler,Efeler,150,3+1,11-15 arası,Yüksek Giriş,4,Doğalgaz (Kombi),1,Var,Hayır,1350000
Aydın,Efeler,Adnan Menderes,220,5+1,0,4,4,Yerden Isıtma,3,Var,Hayır,2750000
Aydın,Efeler,Kurtuluş,80,2+1,5-10 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,1075000
Aydın,Efeler,Cumhuriyet,55,2+1,5-10 arası,1,5,Klima,1,Yok,Hayır,1500000
Aydın,Efeler,Zafer,50,1+1,0,2,3,Doğalgaz (Kombi),1,Yok,Hayır,750000
Aydın,Efeler,Cuma,50,1+1,4,1,4,Merkezi,1,Var,Evet,725000
Aydın,Efeler,Adnan Menderes,155,3+1,0,3,4,Doğalgaz (Kombi),2,Var,Hayır,1900000
Aydın,Efeler,Zafer,50,1+1,3,1,4,Doğalgaz (Kombi),1,Var,Evet,760000
Aydın,Efeler,Ata,130,3+1,2,1,3,Doğalgaz (Kombi),1,Var,Hayır,1500000
Aydın,Efeler,Cuma,213,3+1,16-20 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,850000
Aydın,Efeler,Zafer,145,3+1,11-15 arası,4,6,Doğalgaz (Kombi),1,Var,Hayır,1400000
Aydın,Efeler,Ata,100,2+1,2,4,4,Yerden Isıtma,1,Var,Evet,1550000
Aydın,Efeler,Ata,90,2+1,0,2,3,Doğalgaz (Kombi),1,Var,Hayır,1250000
Aydın,Efeler,Meşrutiyet,110,2+1,26-30 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,900000
Aydın,Efeler,Cuma,112,1+1,16-20 arası,4,5,Klima,2,Var,Evet,980000
Aydın,Efeler,Cumhuriyet,125,3+1,21-25 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,770000
Aydın,Efeler,Cumhuriyet,125,3+1,21-25 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,770000
Aydın,Efeler,Mimar Sinan,155,3+1,5-10 arası,7,10,Doğalgaz (Kombi),1,Var,Hayır,2200000
Aydın,Efeler,,120,3+1,21-25 arası,8,8,Doğalgaz (Kombi),1,Var,Hayır,700000
Aydın,Efeler,Ata,85,2+1,0,4,2,Yerden Isıtma,1,Var,Hayır,1165000
Aydın,Efeler,Adnan Menderes,230,4+1,5-10 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,2800000
Aydın,Efeler,Kurtuluş,170,3+1,5-10 arası,1,6,Doğalgaz (Kombi),2,Var,Hayır,2200000
Aydın,Efeler,Orta,45,1+1,0,3,5,Doğalgaz (Kombi),1,Yok,Hayır,650000
Aydın,Efeler,Girne,50,1+1,0,1,3,Doğalgaz (Kombi),1,Var,Hayır,850000
Aydın,Efeler,Meşrutiyet,145,3+1,5-10 arası,2,5,Doğalgaz (Kombi),2,Var,Hayır,1300000
Aydın,Efeler,Yedi Eylül,50,1+1,0,2,4,Yerden Isıtma,1,Var,Belirtilmemiş,1050000
Aydın,Efeler,Mimar Sinan,180,4+1,5-10 arası,5,8,Merkezi (Pay Ölçer),2,Var,Hayır,2750000
Aydın,Efeler,Cumhuriyet,145,3+1,16-20 arası,2,12,Doğalgaz (Kombi),2,Var,Hayır,2200000
Aydın,Efeler,Ata,140,3+1,11-15 arası,1,2,Yok,2,Var,Hayır,3500000
Aydın,Efeler,Orta,35,1+1,5-10 arası,1,4,Klima,1,Yok,Evet,625000
Aydın,Efeler,Mesudiye,90,2+1,21-25 arası,5,5,Klima,1,Var,Hayır,580000
Aydın,Efeler,Cumhuriyet,260,4+1,0,5,5,Doğalgaz (Kombi),2,Var,Hayır,1950000
Aydın,Efeler,Kurtuluş,40,1+1,4,2,5,Doğalgaz (Kombi),1,Var,Evet,875000
Aydın,Efeler,Meşrutiyet,140,3+1,21-25 arası,2,7,Merkezi,1,Var,Hayır,1500000
Aydın,Efeler,Adnan Menderes,130,3+1,16-20 arası,Yüksek Giriş,4,Yok,1,Var,Hayır,810000
Aydın,Efeler,Yedi Eylül,138,3+1,11-15 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,2100000
Aydın,Efeler,Güzelhisar,100,2+1,0,1,5,Doğalgaz (Kombi),1,Var,Hayır,1410000
Aydın,Efeler,Adnan Menderes,170,3+1,0,2,5,Doğalgaz (Kombi),3,Var,Hayır,2600000
Aydın,Efeler,Cumhuriyet,110,2+1,0,Giriş Katı,4,Doğalgaz (Kombi),2,Var,Hayır,1850000
Aydın,Efeler,Ata,155,4+1,3,2,2,Yerden Isıtma,2,Var,Hayır,1825000
Aydın,Efeler,Girne,75,2+1,0,2,2,Doğalgaz (Kombi),1,Var,Hayır,1550000
Aydın,Efeler,Ata,135,3+1,3,3,3,Doğalgaz (Kombi),2,Var,Hayır,1650000
Aydın,Efeler,Orta,55,1+1,5-10 arası,1,5,Doğalgaz (Kombi),1,Var,Evet,735000
Aydın,Efeler,Yedi Eylül,70,2+0,3,2,3,Doğalgaz (Kombi),1,Var,Evet,875000
Aydın,Efeler,Ata,140,3+1,4,2,3,Doğalgaz (Kombi),2,Var,Hayır,1350000
Aydın,Efeler,Güzelhisar,55,1+1,5-10 arası,3,5,Doğalgaz (Kombi),1,Var,Evet,820000
Aydın,Efeler,Girne,90,2+1,0,2,3,Yerden Isıtma,1,Var,Hayır,1800000
Aydın,Efeler,Orta,50,1+1,4,3,4,Klima,1,Var,Evet,650000
Aydın,Efeler,Meşrutiyet,90,2+1,0,1,4,Doğalgaz (Kombi),2,Var,Hayır,1750000
Aydın,Efeler,Meşrutiyet,135,3+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,2000000
Aydın,Efeler,Kurtuluş,120,3+1,31 ve üzeri,7,7,Doğalgaz (Kombi),1,Var,Evet,950000
Aydın,Efeler,Girne,100,2+1,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,1245000
Aydın,Efeler,Yedi Eylül,120,3+1,11-15 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,1720000
